doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type;Funder_paid
10.1136/bmjgh-2022-010937;BMJ;YFA_BMJ;;Regine Unkels;december;2022;;3000,00;List price;EUR;;Guld;FALSE
10.1136/bmjgh-2022-011242;BMJ;YFA_BMJ;;Kirsty Bourret;december;2022;;3000,00;List price;EUR;;Guld;FALSE
10.1136/rmdopen-2022-002776;BMJ;YFA_BMJ;;Karin Hellgren;december;2022;;2000,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2022-066357;BMJ;YFA_BMJ;;Rebecca Grudin;december;2022;;2000,00;List price;EUR;;Guld;FALSE
10.1136/rmdopen-2022-002700;BMJ;YFA_BMJ;;Liselotte Tidblad;december;2022;;2000,00;List price;EUR;;Guld;FALSE
10.1136/bmj-2022-074093;BMJ;YFA_BMJ;;Peter Ueda;november ;2022;;5000,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2022-064277;BMJ;YFA_BMJ;;Jan Hasselström;november ;2022;;2000,00;List price;EUR;;Guld;FALSE
10.1136/openhrt-2022-002082;BMJ;YFA_BMJ;;Christian Smedberg;november ;2022;;2000,00;List price;EUR;;Guld;FALSE
10.1136/gutjnl-2022-327216;BMJ;YFA_BMJ;;Matti Sallberg;augusti;2022;;3600,00;List price;EUR;;Hybrid;FALSE
10.1136/heartjnl-2022-321198;BMJ;YFA_BMJ;;Andreas Roos;juli;2022;;3000,00;List price;EUR;;Hybrid;FALSE
10.1136/heartjnl-2022-321702;BMJ;YFA_BMJ;;Anna Norhammar;oktober;2022;;3000,00;List price;EUR;;Hybrid;FALSE
10.1136/jclinpath-2022-208152;BMJ;YFA_BMJ;;Carlos Rubio;februari;2022;;3000,00;List price;EUR;;Hybrid;FALSE
10.1136/oemed-2021-108087;BMJ;YFA_BMJ;;Katrina Blindow;februari;2022;;2300,00;List price;EUR;;Hybrid;FALSE
10.1136/oemed-2022-108268;BMJ;YFA_BMJ;;Melody Almroth;juni;2022;;3000,00;List price;EUR;;Hybrid;FALSE
10.1136/bmjgh-2022-009594;BMJ;YFA_BMJ;;Amanda Cleeve;september;2022;;3000,00;List price;EUR;;Guld;FALSE
10.1136/bmjhci-2022-100588;BMJ;YFA_BMJ;;Per Vincent;juli;2022;;1800,00;List price;EUR;;Guld;FALSE
10.1136/bmjno-2022-000344;BMJ;YFA_BMJ;;Jasper Holleman;oktober;2022;;1800,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2020-047500;BMJ;YFA_BMJ;;Anders Persson;Januari;2022;;1350,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-051515;BMJ;YFA_BMJ;;Antonio Ponce de Leon;Januari;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-052283;BMJ;YFA_BMJ;;Karolina Olin;Januari;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-053735;BMJ;YFA_BMJ;;Maria Reinius;Januari;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-054351;BMJ;YFA_BMJ;;Ellenor Mittendorfer-Rutz;maj;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-054507;BMJ;YFA_BMJ;;Johan Rehnberg;Mars;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-054512;BMJ;YFA_BMJ;;Tony Bohman;Mars;2022;;1500,00;List price;EUR;;Guld;FALSE
10.1136/bmjopen-2021-055656;BMJ;YFA_BMJ;;Hampus Holmer;augusti;2022;;1500,00;List price;EUR;;Guld;FALSE
